gameid,qtr,min,sec,off,def,down,togo,ydline,description,offscore,defscore,season
20120905_DAL@NYG,1,,0,DAL,NYG,,,,D.Bailey kicks 69 yards from DAL 35 to NYG -4. D.Wilson to NYG 16 for 20 yards (A.Holmes).,0,0,2012
20120905_DAL@NYG,1,59,56,NYG,DAL,1,10,84,(14:56) E.Manning pass incomplete deep left to H.Nicks.,0,0,2012
20120905_DAL@NYG,1,59,49,NYG,DAL,2,10,84,(14:49) E.Manning pass short middle to V.Cruz to NYG 21 for 5 yards (S.Lee) [J.Hatcher].,0,0,2012
20120905_DAL@NYG,1,59,5,NYG,DAL,3,5,79,(14:05) (Shotgun) E.Manning pass incomplete short middle to V.Cruz.,0,0,2012
20120905_DAL@NYG,1,58,58,NYG,DAL,4,5,79,(13:58) S.Weatherford punts 56 yards to DAL 23 Center-Z.DeOssie. D.Bryant to DAL 24 for 1 yard (Z.DeOssie).,0,0,2012
20120905_DAL@NYG,1,58,44,DAL,NYG,1,10,76,(13:44) D.Murray left guard to DAL 27 for 3 yards (C.Blackburn).,0,0,2012
20120905_DAL@NYG,1,58,7,DAL,NYG,2,7,73,(13:07) T.Romo sacked at DAL 19 for -8 yards (R.Bernard).,0,0,2012
20120905_DAL@NYG,1,57,27,DAL,NYG,3,15,81,(12:27) (Shotgun) T.Romo pass incomplete short left to F.Jones.,0,0,2012
20120905_DAL@NYG,1,57,21,DAL,NYG,4,15,81,(12:21) C.Jones punts 60 yards to NYG 21 Center-L.Ladouceur. D.Hixon to NYG 31 for 10 yards (A.Albright L.Vickers). PENALTY on NYG-J.Hosley Clipping 13 yards enforced at NYG 26. Officially a return for 5 yards.,0,0,2012
20120905_DAL@NYG,1,57,9,NYG,DAL,1,10,87,(12:09) A.Bradshaw left tackle to NYG 15 for 2 yards (J.Hatcher J.Price-Brent).,0,0,2012
